contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
1A01,2018,1,A,1,465,415,2,Layla Bonnot,260,10,1,49,Layla Bonnot,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A02,2018,1,A,2,859,763,2,Teresa A. Edmondson,387,8,0,96,Teresa A. Edmondson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A03,2018,1,A,3,567,446,1,Zach Rybarczyk,437,9,0,121,Zach Rybarczyk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A04,2018,1,A,4,689,544,1,Matthew Goldschmidt,515,29,0,145,Matthew Goldschimdt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A05,2018,1,A,5,566,496,1,Christine Miller,478,18,0,70,Christine Miller,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A06,2018,1,A,6,902,757,1,Angelica Castanon,725,32,0,145,Angelica Castañon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A07,2018,1,A,7,833,680,1,Jen Bundy,652,28,0,153,Jen Bundy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A08,2018,1,A,8,1044,941,1,Kent C. Boese,914,27,1,102,Kent C. Boese,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A09,2018,1,A,9,721,609,1,Michael Wray,573,36,0,112,Michael Wray,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A10,2018,1,A,10,848,747,1,Rashida Brown,727,20,0,101,Rashida Brown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A11,2018,1,A,11,642,554,1,Dotti Love Wade,519,35,0,88,Dotti Love Wade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1A12,2018,1,A,12,590,59,1,WRITE-IN,59,59,0,531,Jason Clock,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1B01,2018,1,B,1,862,766,1,Anita Norman,734,32,0,96,Anita Norman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B02,2018,1,B,2,1210,926,2,Dan Orlaskey,558,19,1,283,Dan Orlaskey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B03,2018,1,B,3,697,570,1,Sedrick Muhammad,540,30,0,127,Sedrick Muhammad,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B04,2018,1,B,4,1007,784,1,Jon D. Squicciarini,749,35,0,223,Vacant,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1B05,2018,1,B,5,887,644,2,James Cordes,322,25,1,242,James Cordes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B06,2018,1,B,6,760,645,1,Jen Bristol,625,20,0,115,Jennifer Bristol,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B07,2018,1,B,7,412,324,1,Jessica Smith,305,19,0,88,Jessica Laura Smith,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B08,2018,1,B,8,738,595,1,Joshua R. Mater,581,14,0,143,Joshua R. Mater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B09,2018,1,B,9,813,677,1,James A. Turner,642,35,0,136,James A. Turner,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B10,2018,1,B,10,364,322,1,Danny Delaney,298,24,0,42,Danny Delaney,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B11,2018,1,B,11,748,638,1,Robb Hudson,556,82,0,110,Robb Hudson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1B12,2018,1,B,12,1045,868,1,Dan Winston,847,21,1,176,Dan Winston,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C01,2018,1,C,1,1043,832,1,Amir Irani,808,24,0,211,Amir Irani,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C02,2018,1,C,2,1115,880,2,Bridget Pooley,502,17,0,235,Bridget Pooley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C03,2018,1,C,3,921,742,1,Ted Guthrie,711,31,1,178,Ted Guthrie,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C04,2018,1,C,4,1006,779,1,Douglas Ely,747,32,1,226,Douglas Ely,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C05,2018,1,C,5,992,823,1,Damiana Dendy,780,43,0,169,Damiana Dendy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C06,2018,1,C,6,1012,859,2,Michaela Wright,726,15,1,152,Michaela Wright,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C07,2018,1,C,7,972,831,2,Japer Bowles,485,14,0,141,Japer Bowles,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1C08,2018,1,C,8,934,794,1,Amanda Fox Perry,765,29,0,140,Amanda Fox Perry,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
