ELECTION_DATE,SMD,CANDIDATE,VOTES,WARD
2012-11-06,1A01,LISA KRALOVIC,374,1
2012-11-06,1A01,WRITE-IN,24,1
2012-11-06,1A02,ALEXANDER GALLO,295,1
2012-11-06,1A02,VICKEY A. WRIGHT-SMITH,432,1
2012-11-06,1A02,WRITE-IN,11,1
2012-11-06,1A03,STEVE SWANK,406,1
2012-11-06,1A03,WRITE-IN,36,1
2012-11-06,1A04,LAINA AQUILINE,430,1
2012-11-06,1A04,SENTAMU KIREMERWA,120,1
2012-11-06,1A04,WRITE-IN,18,1
2012-11-06,1A05,KEVIN HOLMES,440,1
2012-11-06,1A05,WRITE-IN,16,1
2012-11-06,1A06,KEVIN E. CLINESMITH,87,1
2012-11-06,1A06,PATRICK W. FLYNN,411,1
2012-11-06,1A06,"WILLIAM ""BILL"" BROWN JR.",218,1
2012-11-06,1A06,WRITE-IN,9,1
2012-11-06,1A07,THOMAS BOISVERT,633,1
2012-11-06,1A07,WRITE-IN,44,1
2012-11-06,1A08,KENT C. BOESE,852,1
2012-11-06,1A08,WRITE-IN,14,1
2012-11-06,1A09,BOBBY HOLMES,495,1
2012-11-06,1A09,WRITE-IN,37,1
2012-11-06,1A10,ANTHONY CIMINO,554,1
2012-11-06,1A10,"LENWOOD ""LENNY"" JOHNSON",250,1
2012-11-06,1A10,WRITE-IN,6,1
2012-11-06,1A11,DOTTI LOVE WADE,429,1
2012-11-06,1A11,MIRIAM Z. SAVAD,205,1
2012-11-06,1A11,WRITE-IN,16,1
2012-11-06,1A12,ROSALIND M. GILLIAM,322,1
2012-11-06,1A12,WRITE-IN,10,1
2012-11-06,1A12,ZACH TEUTSCH,233,1
2012-11-06,1B01,MARC MORGAN,655,1
2012-11-06,1B01,WRITE-IN,24,1
2012-11-06,1B02,JEREMY C. LEFFLER,797,1
2012-11-06,1B02,WRITE-IN,47,1
2012-11-06,1B03,SEDRICK MUHAMMAD,541,1
2012-11-06,1B03,WRITE-IN,32,1
2012-11-06,1B04,DEBORAH R. THOMAS,713,1
2012-11-06,1B04,WRITE-IN,50,1
2012-11-06,1B05,RICARDO A. REINOSO,566,1
2012-11-06,1B05,WRITE-IN,20,1
2012-11-06,1B06,DYANA FORESTER,628,1
2012-11-06,1B06,WRITE-IN,27,1
2012-11-06,1B07,JUAN E. LOPEZ,397,1
2012-11-06,1B07,WRITE-IN,22,1
2012-11-06,1B08,EMILY WASHINGTON,640,1
2012-11-06,1B08,WRITE-IN,34,1
2012-11-06,1B09,JAMES A. TURNER,555,1
2012-11-06,1B09,WRITE-IN,61,1
2012-11-06,1B10,TONY NORMAN,307,1
2012-11-06,1B10,WRITE-IN,17,1
2012-11-06,1B11,E. GAIL ANDERSON HOLNESS,404,1
2012-11-06,1B11,WRITE-IN,9,1
2012-11-06,1B12,DAN WITTELS,98,1
2012-11-06,1B12,ERLING (ERL) BAILEY,168,1
2012-11-06,1B12,JOHN C. GREEN,295,1
2012-11-06,1B12,WRITE-IN,16,1
2012-11-06,1B12,ZAHRA JILANI,329,1
2012-11-06,1C01,BRIAN HART,420,1
2012-11-06,1C01,ERIC CLIFTON,159,1
2012-11-06,1C01,JOSEPH MEIER,257,1
2012-11-06,1C01,WRITE-IN,11,1
2012-11-06,1C02,"MARTIS ""MARTY"" DAVIS",761,1
2012-11-06,1C02,WRITE-IN,58,1
2012-11-06,1C03,JOSE SUEIRO,259,1
2012-11-06,1C03,TED GUTHRIE,511,1
2012-11-06,1C03,WRITE-IN,25,1
2012-11-06,1C04,GABRIELA MOSSI,879,1
2012-11-06,1C04,WRITE-IN,21,1
2012-11-06,1C05,ELHAM DEHBOZORGI,715,1
2012-11-06,1C05,WRITE-IN,35,1
2012-11-06,1C06,RAYMOND MOSLEY,183,1
2012-11-06,1C06,WILLIAM (BILLY) SIMPSON,494,1
2012-11-06,1C06,WRITE-IN,20,1
2012-11-06,1C07,WILSON REYNOLDS,647,1
2012-11-06,1C07,WRITE-IN,37,1
2012-11-06,1C08,JIMMY R. ROCK,708,1
2012-11-06,1C08,WRITE-IN,28,1
2012-11-06,1D01,FRANK O. AGBRO,368,1
2012-11-06,1D01,WRITE-IN,11,1
2012-11-06,1D01,YASMIN ROMERO-CASTILLO,466,1
2012-11-06,1D02,ADAM HOEY,464,1
2012-11-06,1D02,WRITE-IN,25,1
2012-11-06,1D03,JACK MCKAY,856,1
2012-11-06,1D03,WRITE-IN,58,1
2012-11-06,1D04,PHIL GREINER,473,1
2012-11-06,1D04,WRITE-IN,20,1
2012-11-06,1D05,ARTURO GRIFFITHS,370,1
2012-11-06,1D05,CHINA TERRELL,540,1
2012-11-06,1D05,WRITE-IN,20,1
2012-11-06,2A01,DAVID M. LEHRMAN,70,2
2012-11-06,2A01,PATRICK KENNEDY,162,2
2012-11-06,2A01,WRITE-IN,6,2
2012-11-06,2A02,REBECCA CODER,505,2
2012-11-06,2A02,WRITE-IN,9,2
2012-11-06,2A03,ASHER CORSON,436,2
2012-11-06,2A03,WRITE-IN,27,2
2012-11-06,2A04,ARMANDO IRIZARRY,452,2
2012-11-06,2A04,WRITE-IN,10,2
2012-11-06,2A05,GRAHAM MICHAEL GALKA,243,2
2012-11-06,2A05,WRITE-IN,8,2
2012-11-06,2A06,FLORENCE HARMON,386,2
2012-11-06,2A06,WRITE-IN,11,2
2012-11-06,2A07,JACKSON CARNES,190,2
2012-11-06,2A07,WRITE-IN,10,2
2012-11-06,2A08,WRITE-IN,47,2
2012-11-06,2B01,MIKE FELDSTEIN,631,2
2012-11-06,2B01,WRITE-IN,16,2
2012-11-06,2B02,KEVIN O'CONNOR,512,2
2012-11-06,2B02,WRITE-IN,7,2
2012-11-06,2B03,BEVAN MACE,113,2
2012-11-06,2B03,STEPHANIE MALTZ,483,2
2012-11-06,2B03,WRITE-IN,16,2
2012-11-06,2B04,KISHAN PUTTA,563,2
2012-11-06,2B04,MARTIN ESPINOZA,107,2
2012-11-06,2B04,STEPHANIE SHERIDAN,229,2
2012-11-06,2B04,WRITE-IN,10,2
2012-11-06,2B05,VICTOR WEXLER,530,2
2012-11-06,2B05,WRITE-IN,112,2
2012-11-06,2B06,MIKE SILVERSTEIN,586,2
2012-11-06,2B06,WRITE-IN,15,2
2012-11-06,2B07,LEO DWYER,735,2
2012-11-06,2B07,WRITE-IN,52,2
2012-11-06,2B08,WILL STEPHENS,798,2
2012-11-06,2B08,WRITE-IN,18,2
2012-11-06,2B09,NOAH SMITH,743,2
2012-11-06,2B09,WRITE-IN,28,2
2012-11-06,2C01,JOHN TINPE,357,2
2012-11-06,2C01,WRITE-IN,13,2
2012-11-06,2C02,HAROLD A. CLOSTER,499,2
2012-11-06,2C02,WRITE-IN,11,2
2012-11-06,2C03,KEVIN WILSEY,521,2
2012-11-06,2C03,WRITE-IN,9,2
2012-11-06,2D01,DAVID R. BENDER,513,2
2012-11-06,2D01,WRITE-IN,15,2
2012-11-06,2D02,ERIC LAMAR,447,2
2012-11-06,2D02,WRITE-IN,13,2
2012-11-06,2E01,ED SOLOMON,543,2
2012-11-06,2E01,WRITE-IN,20,2
2012-11-06,2E02,RON LEWIS,477,2
2012-11-06,2E02,WRITE-IN,19,2
2012-11-06,2E03,JEFFREY JONES,446,2
2012-11-06,2E03,WRITE-IN,21,2
2012-11-06,2E04,WRITE-IN,10,2
2012-11-06,2E05,BILL STARRELS,335,2
2012-11-06,2E05,WRITE-IN,16,2
2012-11-06,2E06,TOM BIRCH,643,2
2012-11-06,2E06,WRITE-IN,17,2
2012-11-06,2E07,"CHARLES F. EASON,  JR.",555,2
2012-11-06,2E07,WRITE-IN,23,2
2012-11-06,2E08,PETER PRINDIVILLE,243,2
2012-11-06,2E08,WRITE-IN,16,2
2012-11-06,2F01,PETER LALLAS,707,2
2012-11-06,2F01,WRITE-IN,35,2
2012-11-06,2F02,ADAM L. STEMPEL,290,2
2012-11-06,2F02,JAMES BAKER,89,2
2012-11-06,2F02,WALT CAIN,335,2
2012-11-06,2F02,WRITE-IN,8,2
2012-11-06,2F03,CHRIS LINN,776,2
2012-11-06,2F03,WRITE-IN,29,2
2012-11-06,2F04,JOEL HEISEY,321,2
2012-11-06,2F04,JOHN FANNING,359,2
2012-11-06,2F04,WRITE-IN,12,2
2012-11-06,2F05,JIM LAMARE,506,2
2012-11-06,2F05,WRITE-IN,16,2
2012-11-06,2F06,GREG MELCHER,679,2
2012-11-06,2F06,WRITE-IN,18,2
2012-11-06,2F07,MATT RAYMOND,470,2
2012-11-06,2F07,WRITE-IN,16,2
2012-11-06,2F08,HOWARD S. MARKS,240,2
2012-11-06,2F08,MATTHEW CONNOLLY,283,2
2012-11-06,2F08,WRITE-IN,12,2
2012-11-06,3B01,JOE FIORILLO,673,3
2012-11-06,3B01,WRITE-IN,14,3
2012-11-06,3B02,JACKIE BLUMENTHAL,622,3
2012-11-06,3B02,WRITE-IN,28,3
2012-11-06,3B03,CHARLES CINQUE FULWOOD,660,3
2012-11-06,3B03,WRITE-IN,27,3
2012-11-06,3B04,MARY C. YOUNG,801,3
2012-11-06,3B04,WRITE-IN,23,3
2012-11-06,3B05,BRIAN A. COHEN,692,3
2012-11-06,3B05,WRITE-IN,41,3
2012-11-06,3C01,LEE BRIAN REBA,781,3
2012-11-06,3C01,WRITE-IN,23,3
2012-11-06,3C02,GWENDOLYN BOLE,546,3
2012-11-06,3C02,PETER W. BRUSOE,196,3
2012-11-06,3C02,WRITE-IN,9,3
2012-11-06,3C03,JEFFREY KALIEL,471,3
2012-11-06,3C03,KEVIN MICHAEL WHEATLEY,313,3
2012-11-06,3C03,WRITE-IN,28,3
2012-11-06,3C04,RICHARD STEACY,594,3
2012-11-06,3C04,WRITE-IN,21,3
2012-11-06,3C05,MARGARET A. SIEGEL,856,3
2012-11-06,3C05,WRITE-IN,30,3
2012-11-06,3C06,CARL ROLLER,757,3
2012-11-06,3C06,WRITE-IN,27,3
2012-11-06,3C07,VICTOR SILVEIRA,654,3
2012-11-06,3C07,WRITE-IN,22,3
2012-11-06,3C08,CATHERINE MAY,687,3
2012-11-06,3C08,WRITE-IN,32,3
2012-11-06,3C09,NANCY J. MACWOOD,755,3
2012-11-06,3C09,WRITE-IN,29,3
2012-11-06,3D01,KENT SLOWINSKI,531,3
2012-11-06,3D01,MICHAEL MAZZUCHI,419,3
2012-11-06,3D01,WRITE-IN,7,3
2012-11-06,3D02,TOM SMITH,429,3
2012-11-06,3D02,WRITE-IN,19,3
2012-11-06,3D03,NAN S. WELLS,619,3
2012-11-06,3D03,WRITE-IN,24,3
2012-11-06,3D04,STU ROSS,721,3
2012-11-06,3D04,WRITE-IN,36,3
2012-11-06,3D05,JAMESON FREEMAN,178,3
2012-11-06,3D05,W. PHILIP THOMAS,355,3
2012-11-06,3D05,WRITE-IN,50,3
2012-11-06,3D06,WRITE-IN,193,3
2012-11-06,3D07,WRITE-IN,54,3
2012-11-06,3D08,MICHAEL GOLD,473,3
2012-11-06,3D08,WRITE-IN,32,3
2012-11-06,3D09,GAYLE TROTTER,686,3
2012-11-06,3D09,KERRON PURCHESS,51,3
2012-11-06,3D09,WRITE-IN,12,3
2012-11-06,3D10,JOE WISNIEWSKI,165,3
2012-11-06,3D10,SILVIA LUCERO,88,3
2012-11-06,3D10,WRITE-IN,0,3
2012-11-06,3E01,ELIZABETH S. HAILE,719,3
2012-11-06,3E01,WRITE-IN,35,3
2012-11-06,3E02,MATTHEW FRUMIN,804,3
2012-11-06,3E02,WRITE-IN,24,3
2012-11-06,3E03,JONATHAN BENDER,688,3
2012-11-06,3E03,WRITE-IN,41,3
2012-11-06,3E04,TOM QUINN,767,3
2012-11-06,3E04,WRITE-IN,48,3
2012-11-06,3E05,SAMUEL J. SEREBIN,474,3
2012-11-06,3E05,WRITE-IN,43,3
2012-11-06,3F01,ADAM SCOTT TOPE,604,3
2012-11-06,3F01,WRITE-IN,17,3
2012-11-06,3F02,KAREN LEE PERRY,665,3
2012-11-06,3F02,WRITE-IN,21,3
2012-11-06,3F03,MARY BETH RAY,746,3
2012-11-06,3F03,WRITE-IN,36,3
2012-11-06,3F04,"JOHN WILSON, JR.",103,3
2012-11-06,3F04,SALLY W. GRESHAM,440,3
2012-11-06,3F04,WRITE-IN,7,3
2012-11-06,3F05,MANOLIS R. PRINIOTAKIS,581,3
2012-11-06,3F05,MEGAN N. ROSAN,226,3
2012-11-06,3F05,WRITE-IN,5,3
2012-11-06,3F06,DAVID SOLORZANO LOWELL,661,3
2012-11-06,3F06,WRITE-IN,35,3
2012-11-06,3F07,BOB SUMMERSGILL,703,3
2012-11-06,3F07,WRITE-IN,16,3
2012-11-06,3G01,"CAROLYN ""CALLIE"" COOK",898,3
2012-11-06,3G01,WRITE-IN,18,3
2012-11-06,3G02,GARY THOMPSON,790,3
2012-11-06,3G02,WRITE-IN,30,3
2012-11-06,3G03,RANDY SPECK,702,3
2012-11-06,3G03,WRITE-IN,30,3
2012-11-06,3G04,ALLEN E. BEACH,824,3
2012-11-06,3G04,WRITE-IN,33,3
2012-11-06,3G05,DAVID ENGEL,822,3
2012-11-06,3G05,WRITE-IN,38,3
2012-11-06,3G06,JIM MCCARTHY,680,3
2012-11-06,3G06,WRITE-IN,16,3
2012-11-06,3G07,HENRY GRIFFIN,277,3
2012-11-06,3G07,JONATHAN T. CHU,248,3
2012-11-06,3G07,SANDRA THOMAS,214,3
2012-11-06,3G07,WRITE-IN,6,3
2012-11-06,4A01,WRITE-IN,185,4
2012-11-06,4A02,DWAYNE M. TOLIVER,1113,4
2012-11-06,4A02,WRITE-IN,26,4
2012-11-06,4A03,"STEPHEN A. ""STEVE"" WHATLEY",680,4
2012-11-06,4A03,WRITE-IN,8,4
2012-11-06,4A04,MARIAN C. BENNETT,763,4
2012-11-06,4A04,WRITE-IN,20,4
2012-11-06,4A05,WRITE-IN,62,4
2012-11-06,4A06,KARRYE Y. BRAXTON,416,4
2012-11-06,4A06,WRITE-IN,10,4
2012-11-06,4A07,DAVE WILSON,663,4
2012-11-06,4A07,WRITE-IN,16,4
2012-11-06,4A08,GALE BLACK,1018,4
2012-11-06,4A08,WRITE-IN,25,4
2012-11-06,4B01,"CHARLES E. ONWUCHE, JR.",203,4
2012-11-06,4B01,SARA GREEN,766,4
2012-11-06,4B01,WRITE-IN,10,4
2012-11-06,4B02,FAITH E. WHEELER,835,4
2012-11-06,4B02,WRITE-IN,33,4
2012-11-06,4B03,FRED GRANT,964,4
2012-11-06,4B03,WRITE-IN,22,4
2012-11-06,4B04,BRENDA DAWSON PARKS,601,4
2012-11-06,4B04,GERALD LONG SAZON JR,158,4
2012-11-06,4B04,JAMES J. SYDNOR,238,4
2012-11-06,4B04,WRITE-IN,20,4
2012-11-06,4B05,BRENDA SPEAKS,666,4
2012-11-06,4B05,WRITE-IN,23,4
2012-11-06,4B06,RONALD (RON) AUSTIN,912,4
2012-11-06,4B06,WRITE-IN,22,4
2012-11-06,4B07,JAMES D. GASTON III,379,4
2012-11-06,4B07,JUDI JONES,651,4
2012-11-06,4B07,WRITE-IN,18,4
2012-11-06,4B08,WRITE-IN,18,4
2012-11-06,4B08,YVONNE A. JEFFERSON,973,4
2012-11-06,4B09,WRITE-IN,124,4
2012-11-06,4C01,MICHAEL YATES,716,4
2012-11-06,4C01,WRITE-IN,17,4
2012-11-06,4C02,JANET M. MYERS,878,4
2012-11-06,4C02,WRITE-IN,25,4
2012-11-06,4C03,JEFF STANDISH,736,4
2012-11-06,4C03,WRITE-IN,23,4
2012-11-06,4C04,"RICKEY WILLIAMS, JR.",368,4
2012-11-06,4C04,WRITE-IN,14,4
2012-11-06,4C05,JOSEPH M. VAUGHAN,512,4
2012-11-06,4C05,WRITE-IN,12,4
2012-11-06,4C06,ADAV NOTI,198,4
2012-11-06,4C06,VANN-DI GALLOWAY,447,4
2012-11-06,4C06,WRITE-IN,15,4
2012-11-06,4C07,SHANEL O. ANTHONY,829,4
2012-11-06,4C07,WRITE-IN,23,4
2012-11-06,4C08,TIMOTHY A. JONES,795,4
2012-11-06,4C08,WRITE-IN,28,4
2012-11-06,4C09,JARAHN D. HILLSMAN,357,4
2012-11-06,4C09,WRITE-IN,21,4
2012-11-06,4C09,ZACHARY HARTMAN,454,4
2012-11-06,4C10,WRITE-IN,192,4
2012-11-06,4D01,ALAIN N. DUROSEAU,168,4
2012-11-06,4D01,LAMONT AKINS,402,4
2012-11-06,4D01,WRITE-IN,6,4
2012-11-06,4D02,RENEE L. BOWSER,895,4
2012-11-06,4D02,WRITE-IN,11,4
2012-11-06,4D03,LISA COLBERT,907,4
2012-11-06,4D03,WRITE-IN,10,4
2012-11-06,4D04,DONNA BROCKINGTON,717,4
2012-11-06,4D04,WRITE-IN,16,4
2012-11-06,4D05,WRITE-IN,102,4
2012-11-06,4D06,BILL QUIRK,698,4
2012-11-06,4D06,WRITE-IN,29,4
2012-11-06,5A01,FRANK WILDS,627,5
2012-11-06,5A01,PATRICIA ANN ROBERTS,595,5
2012-11-06,5A01,WRITE-IN,9,5
2012-11-06,5A02,MICHAEL WILLIAMS,948,5
2012-11-06,5A02,WRITE-IN,22,5
2012-11-06,5A03,ADRIAN JORDAN,1028,5
2012-11-06,5A03,WRITE-IN,29,5
2012-11-06,5A04,WRITE-IN,4,5
2012-11-06,5A05,ALLISON DEFOE,180,5
2012-11-06,5A05,RONNIE EDWARDS,218,5
2012-11-06,5A05,WRITE-IN,4,5
2012-11-06,5A06,"ALBRETTE ""GIGI"" RANSOM",453,5
2012-11-06,5A06,DERRICK O. HOLLOWAY,359,5
2012-11-06,5A06,WRITE-IN,11,5
2012-11-06,5A07,"SANDRA ""SANDI"" WASHINGTON",453,5
2012-11-06,5A07,WRITE-IN,13,5
2012-11-06,5A08,ANGEL SHERRI ALSTON,908,5
2012-11-06,5A08,WRITE-IN,24,5
2012-11-06,5B01,CHRISTOPHER D. GAMBILL,111,5
2012-11-06,5B01,GAYLE E. HALL-CARLEY,372,5
2012-11-06,5B01,SHIRLEY RIVENS SMITH,378,5
2012-11-06,5B01,TIMOTHY THOMAS,356,5
2012-11-06,5B01,WRITE-IN,13,5
2012-11-06,5B02,URSULA HIGGINS,910,5
2012-11-06,5B02,WRITE-IN,43,5
2012-11-06,5B03,TIFFANY BRIDGE,927,5
2012-11-06,5B03,WRITE-IN,56,5
2012-11-06,5B04,CAROLYN C. STEPTOE,515,5
2012-11-06,5B04,JOHN T. DAGGETT,198,5
2012-11-06,5B04,RAYSEEN WOODLAND,235,5
2012-11-06,5B04,WRITE-IN,9,5
