ward,year,anc,num_candidates,votes,vote_norm,engagement,prop_uncontested,prop_empty
1,2018,A,1.16666666666667,520.5,0.89689420490823,0.789882079763088,0.833333333333333,0
1,2018,B,1.16666666666667,563.083333333333,0.880950811198713,0.818210483767702,0.833333333333333,0
1,2018,C,1.375,690.5,0.849847785483303,0.818804148897081,0.625,0
1,2018,D,1.6,513.2,0.746411594848637,0.818987491818726,0.4,0
2,2018,A,1.125,254.375,0.909452383719265,0.770137906250605,0.875,0
2,2018,B,1.22222222222222,574.666666666667,0.829025487356905,0.840883185821988,0.777777777777778,0
2,2018,C,1.33333333333333,417,0.847019571054644,0.806861938501962,0.666666666666667,0
2,2018,D,1.5,349,0.753743651254756,0.848222017798355,0.5,0
2,2018,E,1.25,312.25,0.890154877389477,0.815752675777029,0.75,0
2,2018,F,1.125,602.625,0.922221819967193,0.818707757598695,0.875,0
3,2018,B,1,663.8,0.968256152982935,0.837705174257971,1,0
3,2018,C,1.22222222222222,687.888888888889,0.88029649023182,0.82312935845076,0.777777777777778,0
3,2018,D,1.1,382.5,0.928421038831921,0.695323024419453,0.9,0
3,2018,E,1.2,642.6,0.863589703015981,0.826771350646984,0.8,0
3,2018,F,1.28571428571429,576.428571428571,0.888511857258841,0.72628971738464,0.714285714285714,0
3,2018,G,1.14285714285714,694.571428571429,0.897718180033807,0.805549447200794,0.857142857142857,0
4,2018,A,1.375,490.5,0.822969973017727,0.796403723389132,0.625,0
4,2018,B,1.66666666666667,572.333333333333,0.741735660762304,0.818373655539616,0.444444444444444,0
4,2018,C,1.5,523.3,0.76891539982006,0.797187318950355,0.5,0
4,2018,D,1,610,0.961807992289538,0.843603923753981,1,0
5,2018,A,1.375,484.5,0.805205588748934,0.7918547686179,0.625,0
5,2018,B,1.2,769,0.853371593287422,0.861280642461674,0.8,0
5,2018,C,1.85714285714286,565.571428571429,0.745018680092715,0.888233742157316,0.428571428571429,0
5,2018,D,1.42857142857143,462.285714285714,0.802581123084208,0.868059545478925,0.571428571428571,0
5,2018,E,1.9,535.8,0.737150373953434,0.81285884701682,0.5,0
6,2018,A,1.375,723.5,0.827729979530219,0.864567413254288,0.625,0
6,2018,B,1.1,781.5,0.93467586346414,0.839029664117041,0.9,0
6,2018,C,1.16666666666667,867.833333333333,0.87398793355804,0.813720224779002,0.833333333333333,0
6,2018,D,1.57142857142857,834.857142857143,0.794321094577027,0.852527647297152,0.571428571428571,0
6,2018,E,1.28571428571429,610.714285714286,0.79454234914909,0.842500659875336,0.714285714285714,0
7,2018,B,1.57142857142857,429.571428571429,0.698187850402008,0.78415608521893,0.428571428571429,0
7,2018,C,1.42857142857143,392.857142857143,0.816721020472355,0.770654955093852,0.571428571428571,0
7,2018,D,1.71428571428571,361.571428571429,0.816421325030084,0.675315075889731,0.571428571428571,0
7,2018,E,1.42857142857143,455.285714285714,0.832884890165802,0.867329001196879,0.571428571428571,0
7,2018,F,1.28571428571429,350.142857142857,0.839374527033475,0.723632847058818,0.714285714285714,0
8,2018,A,1.28571428571429,426.571428571429,0.827172727709441,0.787913809493313,0.714285714285714,0
8,2018,B,1.28571428571429,270.714285714286,0.790272539798888,0.746716698193605,0.714285714285714,0
8,2018,C,1.42857142857143,267.571428571429,0.744788981828093,0.78242932629802,0.571428571428571,0
8,2018,D,1.14285714285714,338.285714285714,0.916927650889615,0.833117983823457,0.857142857142857,0
8,2018,E,1.71428571428571,344.428571428571,0.722936761911187,0.874005007637311,0.571428571428571,0
NA,NA,NA,NA,NA,NA,NA,NA,NA
