contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes
1A01,2012,1,A,01,NA,398,1,LISA KRALOVIC,374,24,NA,NA
1A02,2012,1,A,02,NA,738,2,VICKEY A. WRIGHT-SMITH,432,11,NA,NA
1A03,2012,1,A,03,NA,442,1,STEVE SWANK,406,36,NA,NA
1A04,2012,1,A,04,NA,568,2,LAINA AQUILINE,430,18,NA,NA
1A05,2012,1,A,05,NA,456,1,KEVIN HOLMES,440,16,NA,NA
1A06,2012,1,A,06,NA,725,3,PATRICK W. FLYNN,411,9,NA,NA
1A07,2012,1,A,07,NA,677,1,THOMAS BOISVERT,633,44,NA,NA
1A08,2012,1,A,08,NA,866,1,KENT C. BOESE,852,14,NA,NA
1A09,2012,1,A,09,NA,532,1,BOBBY HOLMES,495,37,NA,NA
1A10,2012,1,A,10,NA,810,2,ANTHONY CIMINO,554,6,NA,NA
1A11,2012,1,A,11,NA,650,2,DOTTI LOVE WADE,429,16,NA,NA
1A12,2012,1,A,12,NA,565,2,ROSALIND M. GILLIAM,322,10,NA,NA
1B01,2012,1,B,01,NA,679,1,MARC MORGAN,655,24,NA,NA
1B02,2012,1,B,02,NA,844,1,JEREMY C. LEFFLER,797,47,NA,NA
1B03,2012,1,B,03,NA,573,1,SEDRICK MUHAMMAD,541,32,NA,NA
1B04,2012,1,B,04,NA,763,1,DEBORAH R. THOMAS,713,50,NA,NA
1B05,2012,1,B,05,NA,586,1,RICARDO A. REINOSO,566,20,NA,NA
1B06,2012,1,B,06,NA,655,1,DYANA FORESTER,628,27,NA,NA
1B07,2012,1,B,07,NA,419,1,JUAN E. LOPEZ,397,22,NA,NA
1B08,2012,1,B,08,NA,674,1,EMILY WASHINGTON,640,34,NA,NA
1B09,2012,1,B,09,NA,616,1,JAMES A. TURNER,555,61,NA,NA
1B10,2012,1,B,10,NA,324,1,TONY NORMAN,307,17,NA,NA
1B11,2012,1,B,11,NA,413,1,E. GAIL ANDERSON HOLNESS,404,9,NA,NA
1B12,2012,1,B,12,NA,906,4,ZAHRA JILANI,329,16,NA,NA
1C01,2012,1,C,01,NA,847,3,BRIAN HART,420,11,NA,NA
1C02,2012,1,C,02,NA,819,1,MARTIS "MARTY" DAVIS,761,58,NA,NA
1C03,2012,1,C,03,NA,795,2,TED GUTHRIE,511,25,NA,NA
