precinct,ward,anc,year,registered_voters,ballots
1,6,C,2012,5687,3063
1,6,E,2012,5687,3063
2,2,A,2012,916,827
3,2,A,2012,2516,1593
4,2,A,2012,2830,1934
4,2,B,2012,2830,1934
5,2,E,2012,3910,2431
6,2,E,2012,5363,2691
7,3,D,2012,2200,1389
8,3,D,2012,3845,2724
9,3,D,2012,2223,1498
10,3,D,2012,2809,2054
11,3,B,2012,5867,3616
11,3,C,2012,5867,3616
12,3,B,2012,945,608
12,3,C,2012,945,608
13,2,D,2012,2146,1423
14,2,B,2012,4638,2870
14,2,D,2012,4638,2870
15,2,B,2012,4635,2935
16,2,B,2012,5297,3218
16,2,F,2012,5297,3218
17,2,B,2012,7252,4307
17,2,C,2012,7252,4307
17,2,F,2012,7252,4307
18,6,E,2012,5218,3181
19,5,E,2012,5368,3045
20,1,B,2012,1542,997
21,6,E,2012,1426,916
22,1,B,2012,4861,2995
23,1,B,2012,3641,2294
24,1,C,2012,3678,2275
25,1,C,2012,5952,3756
26,3,C,2012,4361,2795
27,3,C,2012,3480,2384
27,3,F,2012,3480,2384
28,3,B,2012,4051,2647
28,3,C,2012,4051,2647
29,3,C,2012,2097,1390
29,3,D,2012,2097,1390
29,3,F,2012,2097,1390
30,3,D,2012,1909,1371
30,3,E,2012,1909,1371
31,3,E,2012,3357,2437
32,3,E,2012,3980,2689
32,3,G,2012,3980,2689
33,3,E,2012,4322,2740
33,3,F,2012,4322,2740
34,3,C,2012,5651,3599
34,3,F,2012,5651,3599
35,1,C,2012,4938,3048
36,1,A,2012,5938,3269
36,1,B,2012,5938,3269
37,1,A,2012,4029,2184
37,1,B,2012,4029,2184
38,1,A,2012,3665,2012
39,1,A,2012,5544,3212
39,1,D,2012,5544,3212
40,1,D,2012,5333,3094
41,1,A,2012,4615,2531
42,1,A,2012,2402,1392
43,1,A,2012,2127,1252
44,5,A,2012,3957,2216
44,5,E,2012,3957,2216
45,4,C,2012,2806,1772
46,4,C,2012,3876,2166
46,4,D,2012,3876,2166
47,4,A,2012,4092,2331
47,4,C,2012,4092,2331
48,4,A,2012,3736,2241
48,4,C,2012,3736,2241
49,4,C,2012,1174,677
50,3,G,2012,3073,2077
51,4,G,2012,4662,3487
52,4,G,2012,1871,1257
53,4,A,2012,1629,1052
53,4,C,2012,1629,1052
54,4,C,2012,3115,1846
55,4,C,2012,3270,1808
55,4,D,2012,3270,1808
56,4,D,2012,4148,2446
57,4,B,2012,3373,2013
57,4,D,2012,3373,2013
58,4,B,2012,2964,1788
58,4,D,2012,2964,1788
59,4,B,2012,3355,1979
60,4,A,2012,3121,1613
61,4,A,2012,2155,1399
62,4,A,2012,3947,2786
63,4,B,2012,4387,2701
64,4,B,2012,2856,1784
65,4,B,2012,3263,2162
