contest_name,smd_anc_votes,explicit_candidates,ward_ballots,over_votes,under_votes,ward_anc_votes,anc,smd,year,ward,winner,winner_votes,write_in_votes,smd_ballots
1A01,398,1,35047,NA,NA,24778,A,1,2012,1,LISA KRALOVIC,374,24,NA
1A02,738,2,35047,NA,NA,24778,A,2,2012,1,VICKEY A. WRIGHT-SMITH,432,11,NA
1A03,442,1,35047,NA,NA,24778,A,3,2012,1,STEVE SWANK,406,36,NA
1A04,568,2,35047,NA,NA,24778,A,4,2012,1,LAINA AQUILINE,430,18,NA
1A05,456,1,35047,NA,NA,24778,A,5,2012,1,KEVIN HOLMES,440,16,NA
1A06,725,3,35047,NA,NA,24778,A,6,2012,1,PATRICK W. FLYNN,411,9,NA
1A07,677,1,35047,NA,NA,24778,A,7,2012,1,THOMAS BOISVERT,633,44,NA
1A08,866,1,35047,NA,NA,24778,A,8,2012,1,KENT C. BOESE,852,14,NA
1A09,532,1,35047,NA,NA,24778,A,9,2012,1,BOBBY HOLMES,495,37,NA
1A10,810,2,35047,NA,NA,24778,A,10,2012,1,ANTHONY CIMINO,554,6,NA
1A11,650,2,35047,NA,NA,24778,A,11,2012,1,DOTTI LOVE WADE,429,16,NA
1A12,565,2,35047,NA,NA,24778,A,12,2012,1,ROSALIND M. GILLIAM,322,10,NA
1B01,679,1,35047,NA,NA,24778,B,1,2012,1,MARC MORGAN,655,24,NA
1B02,844,1,35047,NA,NA,24778,B,2,2012,1,JEREMY C. LEFFLER,797,47,NA
1B03,573,1,35047,NA,NA,24778,B,3,2012,1,SEDRICK MUHAMMAD,541,32,NA
1B04,763,1,35047,NA,NA,24778,B,4,2012,1,DEBORAH R. THOMAS,713,50,NA
1B05,586,1,35047,NA,NA,24778,B,5,2012,1,RICARDO A. REINOSO,566,20,NA
1B06,655,1,35047,NA,NA,24778,B,6,2012,1,DYANA FORESTER,628,27,NA
1B07,419,1,35047,NA,NA,24778,B,7,2012,1,JUAN E. LOPEZ,397,22,NA
1B08,674,1,35047,NA,NA,24778,B,8,2012,1,EMILY WASHINGTON,640,34,NA
1B09,616,1,35047,NA,NA,24778,B,9,2012,1,JAMES A. TURNER,555,61,NA
1B10,324,1,35047,NA,NA,24778,B,10,2012,1,TONY NORMAN,307,17,NA
1B11,413,1,35047,NA,NA,24778,B,11,2012,1,E. GAIL ANDERSON HOLNESS,404,9,NA
1B12,906,4,35047,NA,NA,24778,B,12,2012,1,ZAHRA JILANI,329,16,NA
1C01,847,3,35047,NA,NA,24778,C,1,2012,1,BRIAN HART,420,11,NA
